476  240685:1.000000 254124:1.000000 
477  255460:1.000000 
478  21646:1.000000 160273:1.000000 234467:1.000000 
479  21646:1.000000 
480  232574:1.000000 
481  232791:1.000000 248968:1.000000 
482  31618:1.000000 84036:1.000000 249898:1.000000 
483  91567:1.000000 102718:1.000000 118990:2.000000 
484  138464:1.000000 
485  150247:1.000000 
486  130453:1.000000 179353:1.000000 232815:1.000000 
487  180081:1.000000 
488  180081:1.000000 248579:1.000000 249898:1.000000 
489  48106:1.000000 104590:1.000000 180081:1.000000 
490  95363:1.000000 180081:1.000000 
491  180081:1.000000 
492  180081:1.000000 221414:1.000000 
493  180081:2.000000 
494  180081:3.000000 
495  13946:1.000000 180081:1.000000 
496  180081:1.000000 
497  181377:1.000000 
498  180081:1.000000 
499  180081:1.000000 248503:1.000000 
500  146785:1.000000 180081:1.000000 222765:1.000000 
501  160324:1.000000 180081:1.000000 
502  51188:1.000000 149079:1.000000 180081:1.000000 
503  102210:1.000000 180081:1.000000 
504  31106:1.000000 113009:1.000000 180081:1.000000 
505  180081:1.000000 
506  60909:1.000000 180081:1.000000 
507  60909:1.000000 180081:1.000000 
508  232955:2.000000 
509  102810:1.000000 180081:1.000000 
510  102810:1.000000 180081:1.000000 
511  119078:1.000000 180081:1.000000 
512  180081:1.000000 
513  180081:1.000000 247792:1.000000 
514  55103:1.000000 
515  48774:1.000000 
516  207605:1.000000 
517  60909:1.000000 
518  232955:1.000000 
519  60909:1.000000 117040:1.000000 249585:1.000000 
520  13123:1.000000 229262:1.000000 
521  37797:1.000000 
522  107069:1.000000 
523  65726:1.000000 
524  1943:1.000000 68954:1.000000 234467:1.000000 
525  214095:1.000000 238308:1.000000 
526  67079:1.000000 247556:1.000000 
527  230185:1.000000 
528  104447:1.000000 230185:1.000000 
529  68543:1.000000 
530  68543:1.000000 
531  107069:1.000000 
532  68543:1.000000 
533  257178:1.000000 
534  55103:1.000000 
535  55103:1.000000 206921:1.000000 
536  55103:1.000000 
537  23840:1.000000 55103:1.000000 
538  37980:1.000000 55103:1.000000 
539  55103:1.000000 
540  55103:1.000000 
541  55103:1.000000 
542  231917:1.000000 
543  20793:1.000000 55103:1.000000 
544  55103:1.000000 
545  55103:1.000000 
546  186413:2.000000 
547  13946:1.000000 
548  13946:1.000000 
549  13946:1.000000 
550  13946:1.000000 
551  13946:1.000000 
552  13946:1.000000 
553  78690:2.000000 132713:1.000000 231917:1.000000 248968:1.000000 
554  13946:1.000000 
555  13946:1.000000 
556  13946:1.000000 
557  13946:1.000000 165939:1.000000 
558  13946:1.000000 37980:1.000000 
559  13946:1.000000 37980:1.000000 
560  13946:1.000000 
561  13946:1.000000 
562  13946:1.000000 180081:1.000000 
563  13946:1.000000 37980:1.000000 
564  215790:1.000000 231917:1.000000 
565  13946:3.000000 203828:1.000000 
566  13946:2.000000 
567  13946:2.000000 
568  13946:2.000000 
569  13946:6.000000 
570  13946:7.000000 
571  13946:10.000000 
572  13946:11.000000 
573  13946:15.000000 
574  13946:2.000000 37980:1.000000 
575  231917:1.000000 
576  13946:1.000000 
577  13946:2.000000 
578  13946:1.000000 
579  13946:1.000000 
580  13946:1.000000 71195:1.000000 
581  13946:1.000000 24879:1.000000 
582  13946:1.000000 26124:1.000000 
583  13946:1.000000 
584  13946:1.000000 
585  13946:1.000000 
586  215790:1.000000 231917:1.000000 
587  13946:1.000000 
588  31200:1.000000 
589  31200:1.000000 
590  31200:1.000000 
591  31200:1.000000 
592  231917:1.000000 
593  31200:1.000000 
594  31200:1.000000 37980:1.000000 
595  31200:5.000000 38895:5.000000 
596  31200:1.000000 
597  31200:1.000000 
598  31200:1.000000 71195:1.000000 
599  31200:1.000000 37980:1.000000 
600  31200:1.000000 
601  31200:1.000000 180081:1.000000 
602  31200:1.000000 
603  102553:1.000000 231917:1.000000 
604  79085:1.000000 
605  211346:1.000000 
606  201057:1.000000 
607  28661:1.000000 37980:1.000000 142329:1.000000 
608  231917:1.000000 
609  118990:1.000000 
